seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
20,harmonic_only,2815,0.9200710479573713,0.066,0.8754459064327487,0.12455409356725149,5.272908176734906e-30
20,curl_only,2787,0.9332615715823466,0.065,0.9164447505356598,0.03259106213651669,0.05096418732782369
20,reliability_score,2602,0.9400461183704842,0.065,0.9656587647153686,0.034341235284631524,5.79594765348455e-30
21,raw,3000,0.9163333333333333,0.071,0.8454874148240857,0.11696565150883047,0.03754693366708386
21,harmonic_only,2850,0.9231578947368421,0.071,0.8784713191735298,0.12152868082647017,5.479234059876146e-30
21,curl_only,2787,0.9361320416218156,0.071,0.9279456654456655,0.030845543345543354,0.04120879120879121
21,reliability_score,2637,0.9431171786120591,0.074,0.9678287169691182,0.032171283030881896,6.016516777904133e-30
22,raw,3000,0.9226666666666666,0.07,0.8417120894479384,0.12055206149545772,0.03773584905660377
22,harmonic_only,2850,0.9287719298245614,0.072,0.8747204066811909,0.12527959331880903,6.353769804897175e-30
22,curl_only,2787,0.9422317904556872,0.073,0.924255678330264,0.03430785758133825,0.04143646408839779
22,reliability_score,2637,0.950322335987865,0.072,0.9642090938200449,0.03579090617995518,6.983619048528337e-30
23,raw,3000,0.914,0.095,0.8286265432098766,0.12718153759820428,0.04419191919191919
23,harmonic_only,2825,0.9203539823008849,0.128,0.8669382063701748,0.13306179362982534,9.418405312943005e-30
23,curl_only,2769,0.9321054532322138,0.339,0.9178632478632479,0.03318570318570319,0.04895104895104895
23,reliability_score,2594,0.9421742482652274,0.196,0.9651062091503266,0.034893790849673215,1.046256948451816e-29
24,raw,3000,0.92,0.064,0.8529834100097589,0.09808308936288862,0.04893350062735257
24,harmonic_only,2805,0.928698752228164,0.064,0.8968704192318968,0.1031295807681032,7.496864873812552e-30
24,curl_only,2835,0.9347442680776014,0.064,0.9162099430967355,0.03122941000299492,0.05256064690026954
24,reliability_score,2640,0.9450757575757576,0.064,0.9670380907223013,0.032961909277698764,8.067961218923363e-30
25,raw,3000,0.925,0.061,0.8553052426644417,0.10464469475733557,0.04005006257822278
25,harmonic_only,2840,0.9313380281690141,0.08,0.89098942488773,0.10901057511227003,1.0488413330029674e-29
25,curl_only,2820,0.9414893617021277,0.079,0.9247481581717035,0.03195008269433169,0.04330175913396482
25,reliability_score,2660,0.95,0.08,0.9666038032374666,0.0333961967625334,1.136178233458903e-29
26,raw,3000,0.9223333333333333,0.065,0.8458246201031647,0.1202983410009759,0.033877038895859475
26,harmonic_only,2865,0.9273996509598604,0.081,0.8754834054834055,0.12451659451659454,7.353804485961175e-30
26,curl_only,2787,0.9418729817007535,0.09,0.9285430058157331,0.034266911539638824,0.0371900826446281
26,reliability_score,2652,0.9487179487179487,0.13,0.964409473851534,0.035590526148466084,8.080725569559988e-30
27,raw,3000,0.9223333333333333,0.066,0.8612995533221663,0.10980597431602458,0.028894472361809045
27,harmonic_only,2885,0.9272097053726169,0.067,0.8869268362800057,0.11307316371999426,6.905564910783385e-30
27,curl_only,2814,0.9392324093816631,0.066,0.9340523766273084,0.034612473508931284,0.031335149863760216
27,reliability_score,2699,0.9451648758799556,0.066,0.9642678543522425,0.03573214564775748,7.49054055134266e-30
28,raw,3000,0.915,0.073,0.8470719776380153,0.1177078965758211,0.03522012578616352
28,harmonic_only,2860,0.9213286713286714,0.073,0.8779950746052441,0.12200492539475591,6.344525679814172e-30
28,curl_only,2790,0.9344086021505377,0.073,0.9288582375478928,0.03252107279693487,0.038620689655172416
28,reliability_score,2650,0.9415094339622642,0.073,0.9661724852542642,0.0338275147457357,6.961902626364567e-30
